ID,Gender,Age,Weight,Motion
100001,F,51,58,0
100002,F,51,58,0
100003,F,51,58,0
100004,F,51,58,1
101001,F,54,63,0
101002,F,54,63,0
101003,F,54,63,0
101004,F,54,63,1
102001,F,61,70,0
102002,F,61,70,0
102003,F,61,70,0
102004,F,61,70,1
103001,M,23,71,0
103002,M,23,71,0
103003,M,23,71,0
103004,M,23,71,1
104001,M,24,84,0
104002,M,24,84,0
104003,M,24,84,0
104004,M,24,84,1
105001,F,21,69,0
105002,F,21,69,0
105003,F,21,69,0
105004,F,21,69,1
106001,M,59,80,0
106002,M,59,80,0
106003,M,59,80,0
106004,M,59,80,1
107001,M,23,73,0
107002,M,23,73,0
107003,M,23,73,0
107004,M,23,73,1
108001,M,24,70,0
108002,M,24,70,0
108003,M,24,70,0
108004,M,24,70,1
109001,F,21,68,0
109002,F,21,68,0
109003,F,21,68,0
109004,F,21,68,1
110001,M,50,92,0
110002,M,50,92,0
110003,M,50,92,0
110004,M,50,92,1
111001,F,21,50,0
111002,F,21,50,0
111003,F,21,50,0
111004,F,21,50,1
